Name;Vorname;Partei;Funktion;FB-Link;FB-ID;RawText;FilteredText
Merkel;Angela;CDU;Parteivorsitzende/Bundeskanzlerin;https://www.facebook.com/AngelaMerkel;59788447049;text/merkel.txt;text/merkel_filtered.txt
Tauber;Peter;CDU;Generalsekretär;https://www.facebook.com/tauber.peter;154308617994137;text/tauber.txt;text/tauber_filtered.txt
Bouffier;Volker;CDU;Stellv. Vorsitzender;https://www.facebook.com/volker.bouffier;53810387822;text/bouffier.txt;text/bouffier_filtered.txt
von der Leyen;Ursula;CDU;Bundesministerin der Verteidigung/Stellv. Vorsitzende;;;text/von der leyen.txt;text/von der leyen_filtered.txt
Klöckner;Julia;CDU;Stellv. Vorsitzende;https://www.facebook.com/juliakloeckner;298621020195483;text/klöckner.txt;text/klöckner_filtered.txt
Laschet;Armin;CDU;Stellv. Vorsitzender;https://www.facebook.com/ArminLaschet;109478215738226;text/laschet.txt;text/laschet_filtered.txt
Strobl;Thomas;CDU;Stellv. Vorsitzender;https://www.facebook.com/thomasstrobl.cdu;262986640427464;text/strobl.txt;text/strobl_filtered.txt
de Maizière;Thomas;CDU;Bundesminister des Innern;;;text/de maizière.txt;text/de maizière_filtered.txt
Schäuble;Wolfgang;CDU;Bundesminister der Finanzen;;;text/schäuble.txt;text/schäuble_filtered.txt
Gröhe;Hermann;CDU;Bundesminister für Gesundheit;https://www.facebook.com/groehe;84534791408;text/gröhe.txt;text/gröhe_filtered.txt
Wanka;Johanna;CDU;Bundesministerin für Bildung und Forschung;;;text/wanka.txt;text/wanka_filtered.txt
Altmaier;Peter;CDU;Chef des Bundeskanzleramtes und Bundesminister für besondere Aufgaben;https://www.facebook.com/peter.altmaier;172834814572;text/altmaier.txt;text/altmaier_filtered.txt
CDU;CDU;CDU;Partei;https://www.facebook.com/CDU;78502295414;text/cdu.txt;text/cdu_filtered.txt
Gabriel;Sigmar;SPD;Parteivorsitzender/Bundesminister für Wirtschaft und Energie;https://www.facebook.com/sigmar.gabriel;104493292916735;text/gabriel.txt;text/gabriel_filtered.txt
Barley;Katarina;SPD;Generalsekretärin;https://www.facebook.com/katarina.barley;1522202731410785;text/barley.txt;text/barley_filtered.txt
Kraft;Hannelore;SPD;Stellv. Vorsitzende;https://www.facebook.com/hannelorekraft;28595910348;text/kraft.txt;text/kraft_filtered.txt
Schäfer-Gümbel;Thorsten;SPD;Stellv. Vorsitzender;https://www.facebook.com/thorstenschaeferguembel;34299468079;text/schäfer-gümbel.txt;text/schäfer-gümbel_filtered.txt
Schwesig;Manuela;SPD;Stellv. Vorsitzende/Bundesministerin für Familie, Senioren, Frauen und Jugend;https://www.facebook.com/ManuelaSchwesig;195950842440;text/schwesig.txt;text/schwesig_filtered.txt
Scholz;Olaf;SPD;Stellv. Vorsitzender;https://www.facebook.com/olafscholz;104145414310;text/scholz.txt;text/scholz_filtered.txt
Aydan;Özo?uz;SPD;Stellv. Vorsitzende;https://www.facebook.com/AydanOezoguz;314261885329155;text/aydan.txt;text/aydan_filtered.txt
